DATE TIME;Fdw;Tdw;Ta;Pa;Thwi;Thwo
6/11/2018 04:03;0;13,2;13,2;485,6396;59,5;41,2
6/11/2018 04:04;0;13,2;13,2;486,4795;59,1;43,3
6/11/2018 04:04;0;13,2;13,2;479,2475;59,1;43,4
6/11/2018 04:05;0;13,3;13,3;485,593;58,7;46,4
6/11/2018 04:06;0;13,3;13,4;482,8635;58,3;47,9
6/11/2018 04:06;0;13,3;13,4;475,2816;58,3;47,9
6/11/2018 04:07;0;13,3;13,5;483,4001;57,9;48,4
6/11/2018 04:07;0;13,3;13,5;476,4014;57,9;48,4
6/11/2018 04:08;0;13,3;13,5;480,064;57,6;48,1
6/11/2018 04:08;0;13,3;13,5;472,7854;57,5;48,1
6/11/2018 04:09;0;13,3;13,6;486,5961;57,2;47,9
6/11/2018 04:10;0;13,3;13,6;480,1107;57;47,7
6/11/2018 04:11;0;13,4;13,6;483,7967;56,7;47,4
6/11/2018 04:11;0;13,4;13,6;487,6926;56,7;47,4
6/11/2018 04:12;14,88545;13,4;13,6;484,0066;56,5;44,7
6/11/2018 04:13;15,06431;13,4;13,6;482,0237;56,3;33,4
6/11/2018 04:14;14,94144;13,4;13,6;489,5123;56,1;31
6/11/2018 04:14;14,99743;13,4;13,6;463,6171;56,1;30,9
6/11/2018 04:15;15,01765;13,5;13,7;473,7419;56,3;30,3
6/11/2018 04:15;14,98966;13,5;13,7;477,3812;56,3;30,3
6/11/2018 04:16;15,04409;13,5;13,7;488,3459;56,6;30,2
6/11/2018 04:16;15,00365;13,5;13,7;466,2533;56,6;30,2
6/11/2018 04:17;0;13,5;13,7;474,5584;57;32,4
6/11/2018 04:18;0;13,5;13,7;474,6517;57,3;38,9
6/11/2018 04:18;0;13,5;13,7;477,0779;57,3;39
6/11/2018 04:19;0;13,5;13,6;478,2677;57,6;41,3
6/11/2018 04:19;0;13,5;13,6;478,501;57,6;41,4
6/11/2018 04:20;0;13,5;13,6;492,9416;57,9;44,7
6/11/2018 04:21;0;13,5;13,6;462,6606;58,2;46,8
6/11/2018 04:21;0;13,5;13,6;492,0551;58,2;46,8
6/11/2018 04:22;0;13,5;13,7;476,4947;58,6;47,6
6/11/2018 04:22;0;13,5;13,7;477,3578;58,6;47,7
